Fichier,Nombre de lignes de code,Densité de commentaires,Nombre de fonctions,Couplage entre les classes,Couverture des tests,Dette technique,Nombre de défauts,Lisibilité du code,Nombre de lignes vides,Nombre de lignes de code en majuscules,Nombre d'occurrences de 'TODO',Méthode Longue,Spaghetti Code,Message Chains,Couplage Élevé,Large Class
C:/Users/norhe/pfaa\AmazeFileManager\.git\logs\refs\remotes\origin\HEAD,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C:/Users/norhe/pfaa\AmazeFileManager\.git\objects\pack\pack-1bc0481ce6b123fa27637f19f0736050afcdd466.idx,20068,0.0033884791708192145,0,0,0,0,0,0,137,71747,0,1,1,80896,0,1
C:/Users/norhe/pfaa\AmazeFileManager\.git\objects\pack\pack-1bc0481ce6b123fa27637f19f0736050afcdd466.pack,460966,0.0038007141524537603,0,0,0,0,0,0,3457,1555498,1,1,1,1861477,0,1
C:/Users/norhe/pfaa\AmazeFileManager\.git\objects\pack\pack-1bc0481ce6b123fa27637f19f0736050afcdd466.rev,1758,0.0022753128555176336,0,0,0,0,0,0,6,12613,0,1,1,6817,0,1
C:/Users/norhe/pfaa\AmazeFileManager\.git\refs\heads\release\4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C:/Users/norhe/pfaa\AmazeFileManager\.git\refs\remotes\origin\HEAD,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C:/Users/norhe/pfaa\AmazeFileManager\.github\FUNDING.yml,10,0.0,0,0,0,0,0,0,2,0,0,0,0,11,0,0
C:/Users/norhe/pfaa\AmazeFileManager\.github\no-response.yml,11,0.2727272727272727,0,0,0,0,0,0,2,0,0,0,0,12,0,0
C:/Users/norhe/pfaa\AmazeFileManager\.github\pull_request_template.md,31,0.1935483870967742,0,0,0,0,0,0,7,4,0,1,0,32,0,0
C:/Users/norhe/pfaa\AmazeFileManager\.github\ISSUE_TEMPLATE\bug_report.md,25,0.0,0,0,0,0,0,0,8,3,0,1,0,26,0,0
C:/Users/norhe/pfaa\AmazeFileManager\.github\ISSUE_TEMPLATE\feature_request.md,14,0.0,0,0,0,0,0,0,6,4,0,0,0,15,0,0
C:/Users/norhe/pfaa\AmazeFileManager\.github\workflows\android-build.yml,38,0.0,0,0,0,0,0,0,3,3,0,1,0,39,0,0
C:/Users/norhe/pfaa\AmazeFileManager\.github\workflows\android-debug-artifact-ondemand.yml,59,0.0,0,0,0,0,0,0,3,7,1,1,0,60,0,0
C:/Users/norhe/pfaa\AmazeFileManager\.github\workflows\android-debug-artifact-release.yml,27,0.0,0,0,0,0,0,0,3,2,0,1,0,28,0,0
C:/Users/norhe/pfaa\AmazeFileManager\.github\workflows\android-feature.yml,42,0.0,0,0,0,0,0,0,4,3,0,1,0,43,0,0
C:/Users/norhe/pfaa\AmazeFileManager\.github\workflows\android-main.yml,109,0.0,0,0,0,0,0,0,8,11,0,1,0,110,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\.gitignore,1,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\build.gradle,286,0.0,2,0,0,0,0,0,59,20,0,1,0,289,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\proguard.cfg,96,0.2708333333333333,0,0,0,0,0,0,25,4,0,1,0,97,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\tests-proguard.cfg,11,0.18181818181818182,0,0,0,0,0,0,3,0,0,0,0,12,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\androidTest\java\com\amaze\filemanager\asynchronous\services\ftp\FtpServiceEspressoTest.kt,289,0.0,0,0,0,0,0,0,30,27,0,1,0,290,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\androidTest\java\com\amaze\filemanager\asynchronous\services\ftp\FtpServiceStaticMethodsTest.kt,62,0.0,0,0,0,0,0,0,5,18,0,1,0,63,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\androidTest\java\com\amaze\filemanager\database\UtilsHandlerTest.java,120,0.0,0,0,0,0,0,0,22,23,0,1,0,121,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\androidTest\java\com\amaze\filemanager\filesystem\HybridFileParcelableTest.java,195,0.0,0,0,0,0,0,0,26,19,0,1,0,196,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\androidTest\java\com\amaze\filemanager\filesystem\files\CryptUtilTest.java,48,0.0,0,0,0,0,0,0,12,15,0,1,0,49,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\androidTest\java\com\amaze\filemanager\filesystem\files\GenericCopyUtilEspressoTest.java,108,0.0,0,0,0,0,0,0,18,14,0,1,0,109,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\androidTest\java\com\amaze\filemanager\ssh\SshClientUtilTest.java,70,0.0,0,0,0,0,0,0,12,23,0,1,0,71,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\androidTest\java\com\amaze\filemanager\test\DummyFileGenerator.java,69,0.0,0,0,0,0,0,0,9,21,0,1,0,70,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\androidTest\java\com\amaze\filemanager\test\StoragePermissionHelper.kt,65,0.0,0,0,0,0,0,0,4,21,0,1,0,66,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\androidTest\java\com\amaze\filemanager\ui\activities\TextEditorActivityEspressoTest.java,71,0.0,0,0,0,0,0,0,15,13,0,1,0,72,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\androidTest\java\com\amaze\filemanager\ui\fragments\BackupPrefsFragmentTest.kt,199,0.0,0,0,0,0,0,0,45,19,0,1,0,200,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\androidTest\java\com\amaze\filemanager\utils\CryptUtilEspressoTest.kt,145,0.0,0,0,0,0,0,0,6,15,0,1,0,146,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\androidTest\java\com\amaze\filemanager\utils\security\SecretKeygenEspressoTest.kt,53,0.0,0,0,0,0,0,0,4,15,0,1,0,54,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\androidTest\resources\amaze_backup.json,32,0.0,0,0,0,0,0,0,0,0,0,1,0,33,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\debug\res\values\strings.xml,3,0.0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
