Fichier,Nombre de lignes de code,Densité de commentaires,Nombre de fonctions,Couplage entre les classes,Couverture des tests,Dette technique,Nombre de défauts,Lisibilité du code,Nombre de lignes vides,Nombre de lignes de code en majuscules,Nombre d'occurrences de 'TODO',Méthode Longue,Spaghetti Code,Message Chains,Couplage Élevé,Large Class,Type
C:/Users/norhe/pfaa\AmazeFileManager\.editorconfig,6,0.0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,Type1
C:/Users/norhe/pfaa\AmazeFileManager\.git-blame-ignore-revs,5,0.6,0,0,0,0,0,0,4,0,0,0,0,6,0,0,Type1
C:/Users/norhe/pfaa\AmazeFileManager\.gitattributes,19,0.1052631578947368,0,0,0,0,0,0,3,6,0,0,0,20,0,0,Type1
C:/Users/norhe/pfaa\AmazeFileManager\.gitignore,256,0.35546875,0,0,0,0,0,0,78,12,0,1,0,256,0,1,Type1
C:/Users/norhe/pfaa\AmazeFileManager\amaze.license.spotless.txt,18,0.0,0,0,0,0,0,0,2,14,0,0,0,19,0,0,Type1
C:/Users/norhe/pfaa\AmazeFileManager\build.gradle,150,0.0,1,0,0,0,0,0,15,1,0,1,0,152,0,1,Type1
C:/Users/norhe/pfaa\AmazeFileManager\CODE_OF_CONDUCT.md,97,0.1237113402061855,0,0,0,0,0,0,38,10,0,1,0,97,0,0,Type1
C:/Users/norhe/pfaa\AmazeFileManager\CONTRIBUTING.md,31,0.0,0,0,0,0,0,0,11,10,0,1,0,32,0,0,Type1
C:/Users/norhe/pfaa\AmazeFileManager\gradle.properties,23,0.5652173913043478,0,0,0,0,0,0,7,14,0,0,0,24,0,0,Type1
C:/Users/norhe/pfaa\AmazeFileManager\gradlew,140,0.1428571428571428,0,0,0,0,0,0,19,53,0,1,0,141,0,1,Type1
C:/Users/norhe/pfaa\AmazeFileManager\gradlew.bat,65,0.0,0,0,0,0,0,0,24,21,0,1,0,66,0,0,Type1
C:/Users/norhe/pfaa\AmazeFileManager\icon.png,153,0.0065359477124183,0,0,0,0,0,0,1,513,0,1,0,573,0,1,Type1
C:/Users/norhe/pfaa\AmazeFileManager\LICENSE.txt,552,0.0,0,0,0,0,0,0,121,258,0,1,0,553,0,1,Type1
C:/Users/norhe/pfaa\AmazeFileManager\opencollective.svg,0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Type1
C:/Users/norhe/pfaa\AmazeFileManager\paypal.svg,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Type1
C:/Users/norhe/pfaa\AmazeFileManager\project.properties,9,0.8888888888888888,0,0,0,0,0,0,2,5,0,0,0,10,0,0,Type1
C:/Users/norhe/pfaa\AmazeFileManager\README.md,81,0.0246913580246913,0,0,0,0,0,0,21,32,0,1,0,82,0,0,Type1
C:/Users/norhe/pfaa\AmazeFileManager\SECURITY.md,13,0.1538461538461538,0,0,0,0,0,0,6,1,0,0,0,14,0,0,Type1
C:/Users/norhe/pfaa\AmazeFileManager\settings.gradle,2,0.0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,Type1
C:/Users/norhe/pfaa\AmazeFileManager\transifex.yml,25,0.08,0,0,0,0,0,0,0,0,0,1,0,26,0,0,Type1
C:/Users/norhe/pfaa\AmazeFileManager\.git\config,11,0.0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,Type1
C:/Users/norhe/pfaa\AmazeFileManager\.git\description,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Type1
C:/Users/norhe/pfaa\AmazeFileManager\.git\HEAD,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Type1
C:/Users/norhe/pfaa\AmazeFileManager\.git\index,796,0.0050251256281407,0,0,0,0,0,0,3,1270,0,1,1,2263,0,1,Type1
C:/Users/norhe/pfaa\AmazeFileManager\.git\packed-refs,156,0.0,0,0,0,0,0,0,1,0,0,1,0,157,0,1,Type1
